"","x"
"1",1789.20818506828
"2",1811.84900877176
"3",1833.51184605241
"4",1854.20973372133
"5",1873.96004564048
"6",1892.78296472744
"7",1910.70099915894
"8",1927.73860753622
"9",1943.92185183852
"10",1959.27807304422
"11",1973.83559040986
"12",1984.13449249449
"13",1990.69249602312
"14",1993.54883975265
"15",1992.77507990242
"16",1988.49810190623
"17",1980.89956335745
"18",1970.21182468264
"19",1956.71213286102
"20",1940.71544590665
"21",1922.56619518248
"22",1902.62929029252
"23",1883.26529309087
"24",1865.13359274517
"25",1848.17731281781
"26",1832.30755269212
"27",1817.44039163755
"28",1803.49964552414
"29",1790.41625988995
"30",1778.12752007759
"31",1766.57634442672
"32",1755.71066857325
"33",1745.48290895279
"34",1735.84949398723
"35",1726.77045319275
"36",1718.20905601375
"37",1710.13149348544
"38",1702.50659689984
"39",1695.30558853815
"40",1688.50186027142
"41",1682.07077644825
"42",1675.98949800468
"43",1670.23682516608
"44",1664.79305647699
"45",1659.63986220493
"46",1654.76017042702
"47",1650.13806433252
"48",1645.7586894649
"49",1641.60816979133
"50",1637.67353162714
"51",1633.94263456404
"52",1630.40410865479
"53",1627.04729719721
"54",1623.86220453815
"55",1620.83944838624
"56",1619.58145396755
"57",1621.13575340521
"58",1625.32962319633
"59",1632.16478354389
"60",1641.62816655962
"61",1653.67953350997
"62",1668.24866435911
"63",1685.2337930076
"64",1704.50070452954
"65",1725.88253967802
"66",1749.18042322931
"67",1773.36353151706
"68",1796.66161177385
"69",1818.98379573884
"70",1840.33183992252
"71",1860.72024976778
"72",1880.16735482229
"73",1898.69413369361
"74",1916.32376654515
"75",1933.08126908757
"76",1948.9931526719
"77",1964.0871074389
"78",1977.24330125545
"79",1986.32214642388
"80",1991.66585149085
"81",1993.32462408817
"82",1991.38853432311
"83",1986.0029994001
"84",1977.36705988508
"85",1965.72870402106
"86",1951.37856781564
"87",1934.64237158602
"88",1915.87239407969
"89",1895.73187750399
"90",1876.78918430362
"91",1859.07737395349
"92",1842.51083479718
"93",1827.00067565454
"94",1812.46563003738
"95",1798.83209233666
"96",1786.03331011714
"97",1774.00861321815
"98",1762.70273950048
"99",1752.06524820899
"100",1742.05000835143
"101",1732.61475115536
"102",1723.72067741833
"103",1715.33211203795
"104",1707.41619922264
"105",1699.94263288737
"106",1692.88341757099
"107",1686.21265590551
"108",1679.90635924678
"109",1673.94227856237
"110",1668.29975308151
"111",1662.95957455725
"112",1657.9038652837
"113",1653.11596825969
"114",1648.58034810186
"115",1644.28250149138
"116",1640.2088760931
"117",1636.34679701939
"118",1632.68440002546
