"","x"
"1",1179.76294289822
"2",1217.31288329708
"3",1254.59832387882
"4",1291.53152805498
"5",1328.03140904573
"6",1364.02109669744
"7",1399.42824945021
"8",1434.18554696618
"9",1468.23111850737
"10",1501.50888109823
"11",1533.96878405905
"12",1558.82937502558
"13",1577.2926378361
"14",1589.63539898381
"15",1596.21917538139
"16",1597.51011187116
"17",1594.05260013187
"18",1586.44029822615
"19",1575.28945812784
"20",1561.21582844456
"21",1544.81560822013
"22",1526.65049079377
"23",1509.85813191014
"24",1493.92318172044
"25",1478.45959004956
"26",1463.416225201
"27",1448.73882661038
"28",1434.37484534225
"29",1420.27347662319
"30",1406.38527893589
"31",1392.66177073511
"32",1379.0550327409
"33",1365.51731172347
"34",1352.00061873369
"35",1338.69313054213
"36",1325.58237947626
"37",1312.62670524792
"38",1299.78503088716
"39",1287.0165637881
"40",1274.28049271042
"41",1261.53567910728
"42",1248.74033770414
"43",1235.85170057598
"44",1222.82565830097
"45",1209.61637087587
"46",1196.1758398925
"47",1182.45343191825
"48",1168.39534099362
"49",1153.9439755142
"50",1139.03725130785
"51",1123.60776817687
"52",1107.58184116744
"53",1090.87834980774
"54",1073.40735773416
"55",1055.06844034765
"56",1038.63175397941
"57",1026.03359362745
"58",1017.12179433449
"59",1012.13571020343
"60",1011.37254351821
"61",1015.16929698979
"62",1023.89995230427
"63",1037.97161066739
"64",1057.81682749653
"65",1083.88008258434
"66",1116.59609481622
"67",1154.0844592496
"68",1191.73858991192
"69",1229.21365204676
"70",1266.39595211742
"71",1303.19982049128
"72",1339.54544532312
"73",1375.35733663577
"74",1410.56469886513
"75",1445.1019038372
"76",1478.90889075523
"77",1511.93147459505
"78",1541.84948119582
"79",1564.60175780475
"80",1581.03402094132
"81",1591.45492852855
"82",1596.26336392
"83",1595.95405396151
"84",1591.09020606292
"85",1582.27516891246
"86",1570.12687355056
"87",1555.25605442588
"88",1538.24856989588
"89",1520.04723285752
"90",1503.81678224251
"91",1488.07977492113
"92",1472.79716738456
"93",1457.91441347675
"94",1443.37782167701
"95",1429.13561938769
"96",1415.1376520015
"97",1401.33497965249
"98",1387.67947668226
"99",1374.12343652437
"100",1360.6191757038
"101",1347.17638536331
"102",1333.95742002334
"103",1320.92015993395
"104",1308.02324991285
"105",1295.2258128783
"106",1282.48714934564
"107",1269.76643366147
"108",1257.02240292777
"109",1244.2130332609
"110",1231.29519743617
"111",1218.22429723453
"112",1204.95386282428
"113",1191.43511020977
"114",1177.61644607772
"115",1163.44290715367
"116",1148.85551829035
"117",1133.79054972571
"118",1118.17864896851
"119",1101.94381616095
"120",1085.00218291646
"121",1067.26054264208
"122",1048.61456391275
"123",1033.6063444478
"124",1022.23625345339
"125",1014.61836609799
"126",1011.01824106597
"127",1011.74706031216
"128",1017.15453652841
"129",1027.6263552625
"130",1043.57928536736
"131",1065.45180464091
"132",1093.68812544043
"133",1128.71326216412
"134",1166.30756940791
"135",1203.91775737663
"136",1241.30759767356
"137",1278.37616238729
"138",1315.039966413
"139",1351.22056506568
"140",1386.84393460359
"141",1421.84090582179
"142",1456.14761642207
"143",1489.70588175189
"144",1522.46347281126
"145",1549.85942225414
"146",1570.48807018107
"147",1584.89034912017
"148",1593.40246850346
"149",1596.4579573321
"150",1594.57742406789
"151",1588.34031399697
"152",1578.35734385389
"153",1565.24613835401
"154",1549.61080322118
"155",1532.02560882162
"156",1514.56206645926
"157",1498.50258708814
"158",1482.92417232065
"159",1467.7817077185
"160",1453.02090269897
"161",1438.58875162667
"162",1424.43407131966
"163",1410.50716049304
"164",1396.75939770041
"165",1383.14284338384
"166",1369.60984529114
"167",1356.11264060675
"168",1342.74910386675
"169",1329.59525341776
"170",1316.6092565574
"171",1303.74995057709
"172",1290.97655076398
"173",1278.2483492667
"174",1265.52440946265
"175",1252.76325128305
"176",1239.92252195767
"177",1226.95864600994
"178",1213.82644752231
"179",1200.47873660972
"180",1186.86585061569
"181",1172.93513868618
"182",1158.6303759546
"183",1143.89109041004
"184",1128.65178137816
"185",1112.84100307628
"186",1096.3802794283
"187",1079.18280654441
"188",1061.15188597025
"189",1043.32055255967
"190",1029.55061538051
"191",1019.40084141008
"192",1013.08529926647
"193",1010.8874408943
"194",1013.13158421843
"195",1020.17975432095
"196",1032.42869395752
"197",1050.30370093757
"198",1074.24730054393
"199",1104.70055208285
"200",1142.07459052357
"201",1179.76294289822
"202",1217.31288329708
"203",1254.59832387882
"204",1291.53152805498
"205",1328.03140904573
"206",1364.02109669744
"207",1399.42824945021
"208",1434.18554696618
"209",1468.23111850737
"210",1501.50888109823
"211",1533.96878405905
"212",1558.82937502558
"213",1577.2926378361
"214",1589.63539898381
"215",1596.21917538139
"216",1597.51011187116
"217",1594.05260013187
"218",1586.44029822615
"219",1575.28945812784
"220",1561.21582844456
"221",1544.81560822013
"222",1526.65049079377
"223",1509.85813191014
"224",1493.92318172044
"225",1478.45959004956
"226",1463.416225201
"227",1448.73882661038
"228",1434.37484534225
"229",1420.27347662319
"230",1406.38527893589
"231",1392.66177073511
"232",1379.0550327409
"233",1365.51731172347
"234",1352.00061873369
"235",1338.69313054213
"236",1325.58237947626
"237",1312.62670524792
"238",1299.78503088716
"239",1287.0165637881
"240",1274.28049271042
"241",1261.53567910728
"242",1248.74033770414
"243",1235.85170057598
"244",1222.82565830097
"245",1209.61637087587
"246",1196.1758398925
"247",1182.45343191825
"248",1168.39534099362
"249",1153.9439755142
"250",1139.03725130785
"251",1123.60776817687
"252",1107.58184116744
"253",1090.87834980774
"254",1073.40735773416
"255",1055.06844034765
"256",1038.63175397941
"257",1026.03359362745
"258",1017.12179433449
"259",1012.13571020343
"260",1011.37254351821
"261",1015.16929698979
"262",1023.89995230427
"263",1037.97161066739
"264",1057.81682749653
"265",1083.88008258434
"266",1116.59609481622
"267",1154.0844592496
"268",1191.73858991192
"269",1229.21365204676
"270",1266.39595211742
"271",1303.19982049128
"272",1339.54544532312
"273",1375.35733663577
"274",1410.56469886513
"275",1445.1019038372
"276",1478.90889075523
"277",1511.93147459505
"278",1541.84948119582
"279",1564.60175780475
"280",1581.03402094132
"281",1591.45492852855
"282",1596.26336392
"283",1595.95405396151
"284",1591.09020606292
"285",1582.27516891246
"286",1570.12687355056
"287",1555.25605442588
"288",1538.24856989588
"289",1520.04723285752
"290",1503.81678224251
"291",1488.07977492113
"292",1472.79716738456
"293",1457.91441347675
"294",1443.37782167701
"295",1429.13561938769
"296",1415.1376520015
"297",1401.33497965249
"298",1387.67947668226
"299",1374.12343652437
"300",1360.6191757038
"301",1347.17638536331
"302",1333.95742002334
"303",1320.92015993395
"304",1308.02324991285
"305",1295.2258128783
"306",1282.48714934564
"307",1269.76643366147
"308",1257.02240292777
"309",1244.2130332609
"310",1231.29519743617
"311",1218.22429723453
"312",1204.95386282428
"313",1191.43511020977
"314",1177.61644607772
"315",1163.44290715367
"316",1148.85551829035
"317",1133.79054972571
"318",1118.17864896851
"319",1101.94381616095
"320",1085.00218291646
"321",1067.26054264208
"322",1048.61456391275
"323",1033.6063444478
"324",1022.23625345339
"325",1014.61836609799
"326",1011.01824106597
"327",1011.74706031216
"328",1017.15453652841
"329",1027.6263552625
"330",1043.57928536736
"331",1065.45180464091
"332",1093.68812544043
"333",1128.71326216412
"334",1166.30756940791
"335",1203.91775737663
"336",1241.30759767356
"337",1278.37616238729
"338",1315.039966413
"339",1351.22056506568
"340",1386.84393460359
"341",1421.84090582179
"342",1456.14761642207
"343",1489.70588175189
"344",1522.46347281126
"345",1549.85942225414
"346",1570.48807018107
"347",1584.89034912017
"348",1593.40246850346
"349",1596.4579573321
"350",1594.57742406789
"351",1588.34031399697
"352",1578.35734385389
"353",1565.24613835401
"354",1549.61080322118
"355",1532.02560882162
"356",1514.56206645926
"357",1498.50258708814
"358",1482.92417232065
"359",1467.7817077185
"360",1453.02090269897
"361",1438.58875162667
"362",1424.43407131966
"363",1410.50716049304
"364",1396.75939770041
"365",1383.14284338384
"366",1369.60984529114
"367",1356.11264060675
"368",1342.74910386675
"369",1329.59525341776
"370",1316.6092565574
"371",1303.74995057709
"372",1290.97655076398
"373",1278.2483492667
"374",1265.52440946265
"375",1252.76325128305
"376",1239.92252195767
"377",1226.95864600994
"378",1213.82644752231
"379",1200.47873660972
"380",1186.86585061569
"381",1172.93513868618
"382",1158.6303759546
"383",1143.89109041004
"384",1128.65178137816
"385",1112.84100307628
"386",1096.3802794283
"387",1079.18280654441
"388",1061.15188597025
"389",1043.32055255967
