"","x"
"1",1233.48283050495
"2",1233.86540636968
"3",1234.51618790384
"4",1234.45580549867
"5",1234.61083817959
"6",1234.20672291472
"7",1234.1234285876
"8",1234.3966828827
"9",1234.09704432227
"10",1234.45644493791
"11",1234.32617354733
"12",1233.5392546998
"13",1233.92585518354
"14",1234.72032553153
"15",1234.70995863317
"16",1234.80025115789
"17",1234.31527329475
"18",1234.66665957215
"19",1234.87158924162
"20",1234.61741659753
"21",1234.91428695781
"22",1234.70375795875
"23",1233.81583883899
"24",1234.20148727568
"25",1234.60092707183
"26",1234.72816337231
"27",1234.76419730561
"28",1234.20458672242
"29",1234.55725616387
"30",1234.9013492013
"31",1234.70736350241
"32",1234.95456447343
"33",1234.67682209745
"34",1233.70064238561
"35",1234.10323492645
"36",1234.12732820477
"37",1234.40121489778
"38",1234.39295205417
"39",1233.76875849095
"40",1234.13768429281
"41",1234.63607651451
"42",1234.51223880633
"43",1234.71742843811
"44",1234.38029270508
"45",1233.85254394972
"46",1234.18979185177
"47",1233.83288784963
"48",1234.24216672081
"49",1234.18030580473
"50",1233.48283050495
"51",1233.86540636968
"52",1234.51618790384
"53",1234.45580549867
"54",1234.61083817959
"55",1234.20672291472
"56",1234.1234285876
"57",1234.3966828827
"58",1234.09704432227
"59",1234.45644493791
"60",1234.32617354733
"61",1233.5392546998
"62",1233.92585518354
"63",1234.72032553153
"64",1234.70995863317
"65",1234.80025115789
"66",1234.31527329475
"67",1234.66665957215
"68",1234.87158924162
"69",1234.61741659753
"70",1234.91428695781
"71",1234.70375795875
"72",1233.81583883899
"73",1234.20148727568
"74",1234.60092707183
"75",1234.72816337231
"76",1234.76419730561
"77",1234.20458672242
"78",1234.55725616387
"79",1234.9013492013
"80",1234.70736350241
"81",1234.95456447343
"82",1234.67682209745
"83",1233.70064238561
"84",1234.10323492645
"85",1234.12732820477
"86",1234.40121489778
"87",1234.39295205417
"88",1233.76875849095
"89",1234.13768429281
"90",1234.63607651451
"91",1234.51223880633
"92",1234.71742843811
"93",1234.38029270508
"94",1233.85254394972
"95",1234.18979185177
"96",1233.83288784963
"97",1234.24216672081
"98",1234.18030580473
"99",1233.48283050495
"100",1233.86540636968
"101",1234.51618790384
"102",1234.45580549867
"103",1234.61083817959
"104",1234.20672291472
"105",1234.1234285876
"106",1234.3966828827
"107",1234.09704432227
"108",1234.45644493791
"109",1234.32617354733
"110",1233.5392546998
"111",1233.92585518354
"112",1234.72032553153
"113",1234.70995863317
"114",1234.80025115789
"115",1234.31527329475
"116",1234.66665957215
"117",1234.87158924162
"118",1234.61741659753
"119",1234.91428695781
"120",1234.70375795875
"121",1233.81583883899
"122",1234.20148727568
"123",1234.60092707183
"124",1234.72816337231
"125",1234.76419730561
"126",1234.20458672242
"127",1234.55725616387
"128",1234.9013492013
"129",1234.70736350241
"130",1234.95456447343
"131",1234.67682209745
"132",1233.70064238561
"133",1234.10323492645
"134",1234.12732820477
"135",1234.40121489778
"136",1234.39295205417
"137",1233.76875849095
"138",1234.13768429281
"139",1234.63607651451
"140",1234.51223880633
"141",1234.71742843811
"142",1234.38029270508
"143",1233.85254394972
"144",1234.18979185177
"145",1233.83288784963
"146",1234.24216672081
"147",1234.18030580473
"148",1233.48283050495
"149",1233.86540636968
"150",1234.51618790384
"151",1234.45580549867
"152",1234.61083817959
"153",1234.20672291472
"154",1234.1234285876
"155",1234.3966828827
"156",1234.09704432227
"157",1234.45644493791
"158",1234.32617354733
"159",1233.5392546998
"160",1233.92585518354
"161",1234.72032553153
"162",1234.70995863317
"163",1234.80025115789
"164",1234.31527329475
"165",1234.66665957215
"166",1234.87158924162
"167",1234.61741659753
"168",1234.91428695781
"169",1234.70375795875
"170",1233.81583883899
"171",1234.20148727568
"172",1234.60092707183
"173",1234.72816337231
"174",1234.76419730561
"175",1234.20458672242
"176",1234.55725616387
"177",1234.9013492013
"178",1234.70736350241
"179",1234.95456447343
"180",1234.67682209745
"181",1233.70064238561
"182",1234.10323492645
"183",1234.12732820477
"184",1234.40121489778
"185",1234.39295205417
"186",1233.76875849095
"187",1234.13768429281
"188",1234.63607651451
"189",1234.51223880633
"190",1234.71742843811
"191",1234.38029270508
"192",1233.85254394972
"193",1234.18979185177
"194",1233.83288784963
"195",1234.24216672081
"196",1234.18030580473
"197",1233.48283050495
"198",1233.86540636968
"199",1234.51618790384
"200",1234.45580549867
"201",1234.61083817959
"202",1234.20672291472
"203",1234.1234285876
