"","Equil.pop","Equil.sd","speed","harvest","thresh"
"1",2333.26623925742,0,0,0,NA
"2",2333.26623925742,0,0,0.01,NA
"3",2333.26623925742,0,0,0.02,NA
"4",2333.26623925742,0,0,0.03,NA
"5",2333.26623925742,0,0,0.04,NA
"6",2333.26623925742,0,0,0.05,NA
"7",2333.26623925742,0,0,0.06,NA
"8",2333.26623925742,0,0,0.07,NA
"9",2333.26623925742,0,0,0.08,NA
"10",2333.26623925742,0,0,0.09,NA
"11",2333.26623925742,0,0,0.1,NA
"12",2333.26623925742,0,0,0.11,NA
"13",2333.26623925742,0,0,0.12,NA
"14",2333.26623925742,0,0,0.13,NA
"15",2333.26623925742,0,0,0.14,NA
"16",2333.26623925742,0,0,0.15,NA
"17",2333.26623925742,0,0,0.16,NA
"18",2333.26623925742,0,0,0.17,NA
"19",2333.26623925742,0,0,0.18,NA
"20",2333.26623925742,0,0,0.19,NA
"21",2333.26623925742,0,0,0.2,NA
"22",2331.13327267964,0,0.02,0,NA
"23",2134.3304996271,131.594301944876,0.02,0.01,NA
"24",1935.17096051367,264.38461131949,0.02,0.02,NA
"25",1733.61255765702,397.952055599638,0.02,0.03,NA
"26",1529.59885127366,531.401531342386,0.02,0.04,NA
"27",1323.02283471651,662.476012727309,0.02,0.05,NA
"28",1113.50400094164,783.61134250223,0.02,0.06,NA
"29",897.945105655665,862.20611103239,0.02,0.07,NA
"30",657.180059225459,818.481695208272,0.02,0.08,NA
"31",388.617268186939,614.995930024694,0.02,0.09,NA
"32",111.879567301856,207.484004757245,0.02,0.1,NA
"33",5.52322368706306e-11,2.12318886557053e-10,0.02,0.11,NA
"34",2.16597220724603e-30,9.35536571877393e-30,0.02,0.12,NA
"35",5.34881018182994e-50,2.38245051884106e-49,0.02,0.13,NA
"36",8.23433019503813e-70,3.75430144370944e-69,0.02,0.14,NA
"37",7.82002009843155e-90,3.63480971902e-89,0.02,0.15,NA
"38",4.53190029756641e-110,2.14171569163168e-109,0.02,0.16,NA
"39",1.58476725833483e-130,7.60022551785259e-130,0.02,0.17,NA
"40",3.30529880534928e-151,1.60629907749254e-150,0.02,0.18,NA
"41",4.06240204929215e-172,0,0.02,0.19,NA
"42",2.90575859370921e-193,0,0.02,0.2,NA
"43",2317.55155641256,0,0.04,0,NA
"44",2106.04331024826,113.811615439852,0.04,0.01,NA
"45",1891.83524224712,224.658928679745,0.04,0.02,NA
"46",1674.89226660323,330.046272161887,0.04,0.03,NA
"47",1455.20047343847,425.573843309975,0.04,0.04,NA
"48",1232.78668785307,503.429970068213,0.04,0.05,NA
"49",1007.74304487411,550.451761557353,0.04,0.06,NA
"50",780.222823298633,547.519465854004,0.04,0.07,NA
"51",550.33712528865,473.85978719662,0.04,0.08,NA
"52",317.945845032021,317.86241495494,0.04,0.09,NA
"53",82.5116939829536,89.9832006739089,0.04,0.1,NA
"54",4.34715610427348e-12,1.3815168217164e-11,0.04,0.11,NA
"55",1.69844850783241e-31,8.05634234043046e-31,0.04,0.12,NA
"56",4.18959813861173e-51,2.22883169225977e-50,0.04,0.13,NA
"57",6.44762540019817e-71,3.60369660673134e-70,0.04,0.14,NA
"58",6.12276289464885e-91,3.52675431189145e-90,0.04,0.15,NA
"59",3.54840187752288e-111,2.09030480899852e-110,0.04,0.16,NA
"60",1.24094788637674e-131,7.44476210946135e-131,0.04,0.17,NA
"61",2.58849592985565e-152,1.57700383553483e-151,0.04,0.18,NA
"62",3.1818211504156e-173,0,0.04,0.19,NA
"63",2.27620693404543e-194,0,0.04,0.2,NA
"64",2291.73485282954,0,0.06,0,NA
"65",2081.54623948234,96.9263974548842,0.06,0.01,NA
"66",1868.74990545588,186.895746579927,0.06,0.02,NA
"67",1653.26254467374,266.544491569368,0.06,0.03,NA
"68",1434.96675242755,331.155001382546,0.06,0.04,NA
"69",1213.70056749311,374.449266063452,0.06,0.05,NA
"70",989.260278021551,388.807910197686,0.06,0.06,NA
"71",761.427943151836,366.309979256435,0.06,0.07,NA
"72",530.015076480466,300.790290071298,0.06,0.08,NA
"73",294.885203866443,190.457291504138,0.06,0.09,NA
"74",55.9361379813846,39.7191204889643,0.06,0.1,NA
"75",2.65210453984279e-14,7.70360166160586e-14,0.06,0.11,NA
"76",1.01673902561733e-33,4.60268330402933e-33,0.06,0.12,NA
"77",2.47352935074148e-53,1.34557547105882e-52,0.06,0.13,NA
"78",3.76653888117208e-73,2.24918907177816e-72,0.06,0.14,NA
"79",3.5454671358585e-93,2.23457203868035e-92,0.06,0.15,NA
"80",2.03869723012504e-113,1.33133259488794e-112,0.06,0.16,NA
"81",7.07743188008137e-134,4.74365237946458e-133,0.06,0.17,NA
"82",1.46579754793953e-154,1.00294247799164e-153,0.06,0.18,NA
"83",1.78916871510686e-175,0,0.06,0.19,NA
"84",1.27100521650334e-196,0,0.06,0.2,NA
"85",2253.88421573119,0,0.08,0,NA
"86",2043.45435684013,81.2323818562274,0.08,0.01,NA
"87",1830.2207981297,153.444893751004,0.08,0.02,NA
"88",1614.10032920287,213.704517065111,0.08,0.03,NA
"89",1395.0083210864,258.487369434256,0.08,0.04,NA
"90",1172.86387644156,283.821893861584,0.08,0.05,NA
"91",947.597682136902,285.636854224906,0.08,0.06,NA
"92",719.160786047106,260.337920700422,0.08,0.07,NA
"93",487.53012398421,205.540511863329,0.08,0.08,NA
"94",252.706106034422,120.759487093238,0.08,0.09,NA
"95",15.3799634423259,8.13366817665282,0.08,0.1,NA
"96",1.42047818138522e-17,4.18741544231428e-17,0.08,0.11,NA
"97",5.36539762654547e-37,2.37929985173895e-36,0.08,0.12,NA
"98",1.28849305481523e-56,7.01071609822489e-56,0.08,0.13,NA
"99",1.9413316146876e-76,1.19154171346556e-75,0.08,0.14,NA
"100",1.81186240434302e-96,1.20037246706864e-95,0.08,0.15,NA
"101",1.03463505612856e-116,7.21715922052067e-116,0.08,0.16,NA
"102",3.57090136995978e-137,2.58476511651077e-136,0.08,0.17,NA
"103",7.35819229546088e-158,5.4781070638106e-157,0.08,0.18,NA
"104",8.94045391091298e-179,0,0.08,0.19,NA
"105",6.32423826997163e-200,0,0.08,0.2,NA
"106",2204.17655288728,0,0.1,0,NA
"107",1991.94940515677,67.519751869353,0.1,0.01,NA
"108",1777.1288516861,125.449696699389,0.1,0.02,NA
"109",1559.68787809113,171.580648153495,0.1,0.03,NA
"110",1339.60044381475,203.506334709755,0.1,0.04,NA
"111",1116.83787711545,218.762364121719,0.1,0.05,NA
"112",891.363482530499,215.034361677651,0.1,0.06,NA
"113",663.125952516248,190.419289651416,0.1,0.07,NA
"114",432.053014149146,143.698534572648,0.1,0.08,NA
"115",198.047346314412,74.5599700173647,0.1,0.09,NA
"116",0.0109526770648128,0.00920939529048429,0.1,0.1,NA
"117",6.99814276934267e-22,2.20198700091749e-21,0.1,0.11,NA
"118",2.61850980425458e-41,1.17388568555319e-40,0.1,0.12,NA
"119",6.22892030906591e-61,3.4137697496824e-60,0.1,0.13,NA
"120",9.30285061553113e-81,5.80845255179234e-80,0.1,0.14,NA
"121",8.61535689608411e-101,5.88286773017888e-100,0.1,0.15,NA
"122",4.88679728290059e-121,3.55685659576577e-120,0.1,0.16,NA
"123",1.67689162712973e-141,1.27946469420621e-140,0.1,0.17,NA
"124",3.4380120585821e-162,2.72231237877263e-161,0.1,0.18,NA
"125",4.15854326191664e-183,0,0.1,0.19,NA
"126",2.92953709461572e-204,0,0.1,0.2,NA
"127",2142.76587702249,0,0.12,0,NA
"128",1930.56790378053,56.6464797106866,0.12,0.01,NA
"129",1715.71753197994,103.829132153286,0.12,0.02,NA
"130",1498.15874232456,139.929234606028,0.12,0.03,NA
"131",1277.83283788432,163.287614545377,0.12,0.04,NA
"132",1054.67756780908,172.295072412144,0.12,0.05,NA
"133",828.625905451594,165.504475331766,0.12,0.06,NA
"134",599.604451933608,141.753572135526,0.12,0.07,NA
"135",367.531172798878,100.281151686689,0.12,0.08,NA
"136",132.311476543569,40.8151019672064,0.12,0.09,NA
"137",5.48915209026881e-08,9.03874596064933e-08,0.12,0.1,NA
"138",3.16821143813719e-27,1.0861333895595e-26,0.12,0.11,NA
"139",1.17378516299031e-46,5.4336048205625e-46,0.12,0.12,NA
"140",2.76257408914224e-66,1.54210044209046e-65,0.12,0.13,NA
"141",4.08131553099077e-86,2.59461603975604e-85,0.12,0.14,NA
