"","Equil.pop","Equil.sd","speed","harvest","thresh"
"1",2333.26623925742,0,0,0,NA
"2",2123.99952516431,0,0,0.01,NA
"3",1912.82234828397,0,0,0.02,NA
"4",1699.70481799416,0,0,0.03,NA
"5",1484.61639195834,0,0,0.04,NA
"6",1267.52585855521,0,0,0.05,NA
"7",1048.40131877565,0,0,0.06,NA
"8",827.210167571083,0,0,0.07,NA
"9",603.919074637182,0,0,0.08,NA
"10",378.49396461643,0,0,0.09,NA
"11",150.899996702881,0,0,0.1,NA
"12",5.57854894474618e-08,6.76232141120889e-08,0,0.11,NA
"13",8.24633871158969e-33,2.4142082278013e-32,0,0.12,NA
"14",8.13270094497476e-58,3.22865045209624e-57,0,0.13,NA
"15",5.35687208536701e-83,2.56912368975322e-82,0,0.14,NA
"16",2.3411379506344e-108,1.28853618701284e-107,0,0.15,NA
"17",6.74426719745203e-134,4.13750526158035e-133,0,0.16,NA
"18",1.2722886707682e-159,8.53783307444642e-159,0,0.17,NA
"19",1.56140546900031e-185,0,0,0.18,NA
"20",1.23832766628518e-211,0,0,0.19,NA
"21",6.30409316468127e-238,0,0,0.2,NA
"22",2331.13327267964,0,0.02,0,NA
"23",2117.82635064124,1.12660241873101,0.02,0.01,NA
"24",1902.49469748029,2.07264463543579,0.02,0.02,NA
"25",1685.10492322197,2.81652090579961,0.02,0.03,NA
"26",1465.62285071209,3.33613153535677,0.02,0.04,NA
"27",1244.01348497888,3.60953735468091,0.02,0.05,NA
"28",1020.24098029555,3.61577127976569,0.02,0.06,NA
"29",794.268605482076,3.33577229813022,0.02,0.07,NA
"30",566.058708344672,2.75337771631056,0.02,0.08,NA
"31",335.572680445668,1.85628166878355,0.02,0.09,NA
"32",102.770923541705,0.636849385126337,0.02,0.1,NA
"33",1.76671546932035e-12,3.09922412836757e-12,0.02,0.11,NA
"34",1.40886798258179e-37,4.53620714751072e-37,0.02,0.12,NA
"35",5.62493349928588e-63,2.36727206899465e-62,0.02,0.13,NA
"36",1.42437071105935e-88,7.138691101667e-88,0.02,0.14,NA
"37",2.32748845539821e-114,1.32879800292917e-113,0.02,0.15,NA
"38",2.45295741680166e-140,1.5541993727526e-139,0.02,0.16,NA
"39",1.65984842000049e-166,0,0.02,0.17,NA
"40",7.16917654132797e-193,0,0.02,0.18,NA
