"h 0","h 0.01","h 0.02","h 0.03","h 0.04","h 0.05","h 0.06","h 0.07","h 0.08","h 0.09","h 0.1","h 0.11","h 0.12","h 0.13","h 0.14","h 0.15","h 0.16","h 0.17","h 0.18","h 0.19","h 0.2","h 0.21","h 0.22","h 0.23","h 0.24","h 0.25","h 0.26","h 0.27","h 0.28","h 0.29","h 0.3","h 0.31","h 0.32","h 0.33","h 0.34","h 0.35","h 0.36","h 0.37","h 0.38","h 0.39","h 0.4","h 0.41","h 0.42","h 0.43","h 0.44","h 0.45","h 0.46","h 0.47","h 0.48","h 0.49","h 0.5","h 0.51","h 0.52","h 0.53","h 0.54","h 0.55","h 0.56","h 0.57","h 0.58","h 0.59","h 0.6","h 0.61","h 0.62","h 0.63","h 0.64","h 0.65","h 0.66","h 0.67","h 0.68","h 0.69","h 0.7","h 0.71","h 0.72","h 0.73","h 0.74","h 0.75","h 0.76","h 0.77","h 0.78","h 0.79","h 0.8","h 0.81","h 0.82","h 0.83","h 0.84","h 0.85","h 0.86","h 0.87","h 0.88","h 0.89","h 0.9","h 0.91","h 0.92","h 0.93","h 0.94","h 0.95","h 0.96","h 0.97","h 0.98","h 0.99","h 1"
"c 0",58.1733,58.0659,57.9563,57.8444,57.7303,57.6138,57.4949,57.3735,57.2495,57.1229,56.9934,56.8612,56.726,56.5877,56.4463,56.3016,56.1537,56.0022,55.8471,55.6882,55.5254,55.3587,55.1877,55.0124,54.8326,54.6481,54.4587,54.2643,54.0646,53.8594,53.6485,53.4318,53.2087,52.9791,52.7428,52.4993,52.2485,51.9899,51.7231,51.4479,51.1637,50.8704,50.567,50.2533,49.9287,49.5926,49.2445,48.8836,48.5094,48.1208,47.7171,47.2974,46.8608,46.4062,45.9327,45.4386,44.9228,44.3837,43.8201,43.2297,42.6107,41.9614,41.2788,40.5607,39.8044,39.0061,38.1629,37.2702,36.3242,35.3191,34.25,33.11,31.8919,30.5871,29.1861,27.6777,26.0492,24.2851,22.3675,20.2754,17.9836,15.4618,12.6723,9.569,6.0954,2.1705,0.0197,0.006,0.0028,0.0021,0.0012,9e-04,6e-04,5e-04,2e-04,1e-04,1e-04,1e-04,0,0,0
"c 0.01",58.158,58.0505,57.9409,57.8291,57.7149,57.5985,57.4795,57.3581,57.2341,57.1074,56.978,56.8457,56.7105,56.5722,56.4308,56.2861,56.1382,55.9867,55.8315,55.6726,55.5099,55.3431,55.1721,54.9968,54.8169,54.6324,54.443,54.2486,54.0489,53.8436,53.6327,53.416,53.1929,52.9633,52.7269,52.4835,52.2326,51.974,51.7072,51.4319,51.1477,50.8544,50.551,50.2372,49.9126,49.5765,49.2283,48.8674,48.4932,48.1045,47.7008,47.2811,46.8445,46.3898,45.9163,45.4221,44.9062,44.3671,43.8035,43.213,42.594,41.9447,41.2621,40.5438,39.7875,38.9892,38.1459,37.2532,36.307,35.3019,34.2327,33.0927,31.8745,30.5697,29.1686,27.6601,26.0315,24.2673,22.3495,20.2574,17.9655,15.4436,12.6539,9.5505,6.0767,2.1519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.02",58.112,58.0045,57.8949,57.783,57.6688,57.5523,57.4334,57.3119,57.1879,57.0611,56.9317,56.7993,56.6641,56.5258,56.3843,56.2396,56.0916,55.94,55.7848,55.6259,55.4631,55.2962,55.1252,54.9498,54.77,54.5854,54.396,54.2015,54.0017,53.7964,53.5854,53.3686,53.1455,52.9158,52.6794,52.4358,52.1849,51.9262,51.6594,51.384,51.0998,50.8063,50.5028,50.189,49.8643,49.5281,49.1799,48.8188,48.4445,48.0558,47.652,47.2322,46.7954,46.3406,45.867,45.3727,44.8567,44.3175,43.7537,43.1631,42.544,41.8945,41.2117,40.4934,39.7368,38.9383,38.0949,37.202,36.2557,35.2503,34.181,33.0407,31.8223,30.5172,29.1159,27.6071,25.9783,24.2139,22.2958,20.2034,17.9111,15.3889,12.5988,9.4956,6.0213,2.0951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.03",58.0355,57.9279,57.8182,57.7062,57.592,57.4754,57.3564,57.2349,57.1108,56.984,56.8545,56.7221,56.5868,56.4484,56.3068,56.162,56.014,55.8624,55.7071,55.5481,55.3852,55.2183,55.0472,54.8717,54.6917,54.5071,54.3176,54.123,53.9231,53.7177,53.5066,53.2897,53.0665,52.8367,52.6002,52.3565,52.1055,51.8467,51.5797,51.3043,51.0199,50.7263,50.4227,50.1087,49.7839,49.4475,49.0991,48.7379,48.3635,47.9746,47.5706,47.1506,46.7137,46.2587,45.7849,45.2904,44.7742,44.2348,43.6708,43.08,42.4606,41.8109,41.1279,40.4093,39.6524,38.8537,38.01,37.1168,36.1701,35.1645,34.0948,32.9542,31.7354,30.4299,29.0282,27.519,25.8898,24.1249,22.2063,20.1138,17.8211,15.2977,12.5071,9.4031,5.9285,2.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.04",57.9283,57.8206,57.7108,57.5988,57.4845,57.3679,57.2488,57.1272,57.003,56.8761,56.7465,56.614,56.4786,56.3401,56.1985,56.0536,55.9054,55.7537,55.5983,55.4392,55.2762,55.1092,54.9379,54.7624,54.5823,54.3975,54.2078,54.0131,53.8131,53.6076,53.3965,53.1794,52.956,52.726,52.4893,52.2456,51.9943,51.7354,51.4683,51.1926,50.908,50.6143,50.3105,49.9964,49.6713,49.3348,48.9862,48.6247,48.2501,47.861,47.4567,47.0365,46.5993,46.1444,45.67,45.1753,44.6588,44.1191,43.5548,42.9637,42.344,41.6939,41.0106,40.2916,39.5344,38.7353,37.8912,36.9975,36.0505,35.0444,33.9742,32.8331,31.6138,30.3078,28.9056,27.3962,25.7659,24.0003,22.0816,19.988,17.6945,15.1703,12.3788,9.2744,5.7985,1.8683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.05",57.7906,57.6829,57.573,57.4609,57.3464,57.2297,57.1105,56.9888,56.8645,56.7375,56.6077,56.4751,56.3396,56.201,56.0592,55.9143,55.766,55.6141,55.4586,55.2993,55.1362,54.969,54.7976,54.6219,54.4416,54.2567,54.0669,53.872,53.6718,53.4662,53.2549,53.0376,52.814,52.5839,52.347,52.103,51.8516,51.5924,51.3251,51.0492,50.7646,50.4704,50.1664,49.852,49.5267,49.1899,48.841,48.4794,48.1044,47.715,47.3105,46.89,46.4525,45.9972,45.5225,45.0274,44.5106,43.9705,43.4058,42.8143,42.1942,41.5437,40.8599,40.1404,39.3828,38.5832,37.7385,36.8444,35.8968,34.8904,33.8193,32.6776,31.4576,30.151,28.748,27.2379,25.6068,23.8404,21.9208,19.8263,17.5318,15.0072,12.2146,9.1084,5.6319,1.6981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.06",57.6225,57.5146,57.4046,57.2924,57.1778,57.0609,56.9416,56.8198,56.6953,56.5682,56.4383,56.3056,56.1699,56.0311,55.8892,55.7442,55.5956,55.4436,55.2879,55.1285,54.9652,54.7978,54.6263,54.4504,54.2699,54.0848,53.8948,53.6997,53.4994,53.2935,53.082,52.8644,52.6406,52.4103,52.1732,51.9289,51.6773,51.4178,51.1503,50.8741,50.5892,50.2948,49.9905,49.6758,49.3502,49.0131,48.6639,48.3019,47.9266,47.5368,47.1319,46.711,46.2732,45.8175,45.3424,44.8469,44.3296,43.7891,43.2239,42.6319,42.0113,41.3603,40.676,39.9559,39.1977,38.3975,37.5523,36.6574,35.7092,34.7021,33.6302,32.4878,31.267,29.9595,28.5557,27.0447,25.4126,23.6453,21.7246,19.629,17.3334,14.8075,12.0135,8.9064,5.4283,1.4904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.07",57.424,57.316,57.2059,57.0935,56.9788,56.8618,56.7423,56.6203,56.4957,56.3684,56.2383,56.1054,55.9696,55.8306,55.6886,55.5433,55.3946,55.2424,55.0865,54.9269,54.7634,54.5958,54.424,54.2479,54.0673,53.8819,53.6917,53.4964,53.2958,53.0896,52.8779,52.6601,52.436,52.2054,51.968,51.7235,51.4715,51.2118,50.9439,50.6675,50.3823,50.0875,49.7828,49.4678,49.1419,48.8044,48.4548,48.0924,47.7167,47.3265,46.9212,46.4999,46.0615,45.6054,45.1298,44.6338,44.116,43.5752,43.0093,42.4167,41.7955,41.1439,40.4589,39.7382,38.9793,38.1784,37.3324,36.4368,35.4878,34.4799,33.4071,32.2638,31.0421,29.7337,28.3288,26.8167,25.184,23.4155,21.4932,19.3962,17.0998,14.5719,11.777,8.6685,5.1878,1.2428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.08",57.1953,57.0872,56.9769,56.8643,56.7495,56.6322,56.5126,56.3904,56.2656,56.1382,56.0079,55.8748,55.7387,55.5996,55.4573,55.3119,55.163,55.0105,54.8544,54.6946,54.5308,54.363,54.191,54.0147,53.8338,53.6482,53.4577,53.2621,53.0612,52.8548,52.6428,52.4246,52.2003,51.9693,51.7316,51.4868,51.2345,50.9744,50.7062,50.4294,50.1438,49.8487,49.5436,49.2282,48.9018,48.5639,48.2139,47.8512,47.4749,47.0842,46.6784,46.2566,45.8177,45.3611,44.885,44.3884,43.87,43.3285,42.762,42.1688,41.5469,40.8946,40.2089,39.4877,38.7278,37.926,37.0792,36.1827,35.2328,34.224,33.1502,32.0058,30.7831,29.4735,28.0679,26.5542,24.9202,23.1504,21.2266,19.1287,16.8302,14.3013,11.5045,8.394,4.9113,0.9547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c 0.09",56.9366,56.8282,56.7177,56.605,56.49,56.3725,56.2527,56.1303,56.0053,55.8776,55.7472,55.6139,55.4776,55.3382,55.1958,55.05,54.9009,54.7482,54.5918,54.4317,54.2677,54.0996,53.9274,53.7507,53.5695,53.3836,53.1928,52.9969,52.7957,52.5892,52.3767,52.1582,51.9335,51.7023,51.4642,51.219,50.9663,50.7059,50.4372,50.16,49.874,49.5785,49.273,48.9571,48.6303,48.2919,47.9413,47.5782,47.2013,46.8102,46.4038,45.9814,45.542,45.0847,44.6079,44.1107,43.5917,43.0495,42.4823,41.8883,41.2659,40.6126,39.9261,39.2041,38.4433,37.6406,36.7928,35.8957,34.9444,33.9345,32.86,31.7141,30.4902,29.1794,27.7724,26.2574,24.622,22.8506,20.9258,18.8258,16.5255,13.9952,11.1964,8.0841,4.5989,0.6984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
