"h 0"	"h 0.04"	"h 0.08"	"h 0.12"	"h 0.16"	"h 0.2"	"h 0.24"	"h 0.28"	"h 0.32"	"h 0.36"	"h 0.4"	"h 0.44"	"h 0.48"	"h 0.52"	"h 0.56"	"h 0.6"	"h 0.64"	"h 0.68"	"h 0.72"	"h 0.76"	"h 0.8"	"h 0.84"	"h 0.88"	"h 0.92"	"h 0.96"	"h 1"
"c 0"	160.8686	153.9406	146.5903	138.4988	129.8511	120.2663	109.7818	98.2666	85.3993	71.1751	55.2659	37.4569	18.5371	4.768	1.6403	0.8053	0.4803	0.3399	0.2238	0.2018	0.1092	0.0628	0.0378	0.0222	0.0092	0
"c 6.14236477986966"	160.587	153.6546	146.3013	138.2055	129.555	119.9661	109.4778	97.9595	85.0883	70.8624	54.9542	37.1539	18.2797	4.6539	1.6039	0.7902	0.4728	0.3354	0.2212	0.1998	0.1083	0.0623	0.0376	0.0221	0.0092	0
"c 12.2847295597393"	159.7424	152.7972	145.4348	137.3261	128.5272	119.0661	108.5666	97.0391	84.1565	69.926	54.0216	36.2495	17.3006	4.5393	1.4989	0.9295	0.4509	0.3223	0.2137	0.1942	0.1055	0.0609	0.0368	0.0217	0.009	0
"c 18.427094339609"	158.3359	151.3693	143.9922	135.8622	127.0426	117.5687	107.0509	95.3447	82.608	68.3711	52.4761	34.7578	16.0571	4.022	1.5254	0.8499	0.5786	0.3016	0.2018	0.1852	0.101	0.0586	0.0356	0.0211	0.0088	0
"c 24.5694591194786"	156.245	149.3731	141.8472	133.8165	124.9683	115.3279	104.7799	93.197	80.4495	66.0234	50.1287	32.488	14.173	3.5841	1.5031	0.7493	0.5216	0.2748	0.1862	0.1732	0.0951	0.0556	0.034	0.0203	0.0086	0
"c 30.7118238993483"	153.7097	146.8115	139.2491	131.193	122.3089	112.6344	102.0556	90.4485	77.5095	63.2441	47.3844	29.6737	11.9498	3.0639	1.2413	0.811	0.4562	0.3877	0.1678	0.1589	0.088	0.0519	0.0321	0.0193	0.0082	0
"c 36.8541886792179"	150.6176	143.6888	136.0823	127.9974	119.0707	109.3564	98.7426	87.1104	74.143	59.6974	43.8689	26.3582	9.5167	2.7223	1.1489	0.6711	0.3869	0.3388	0.272	0.143	0.08	0.0477	0.0298	0.0182	0.0078	0
"c 42.9965534590876"	146.9735	139.8832	132.3531	124.0877	115.2622	105.5038	94.8529	83.0156	70.0223	55.7533	39.8102	22.4011	7.2605	2.1793	1.042	0.7007	0.4623	0.2887	0.2374	0.1262	0.0715	0.0432	0.0273	0.0169	0.0074	0
"c 49.1389182389573"	142.7836	135.6372	128.0698	119.7495	110.7346	100.928	90.2242	78.5164	65.5054	51.0726	35.0494	18.3312	5.3633	1.879	0.9307	0.5474	0.3745	0.2398	0.2029	0.1093	0.0628	0.0385	0.0248	0.0156	0.0069	0
"c 55.2812830188269"	138.0564	130.8478	123.1004	114.8633	105.7935	95.9387	85.1992	73.2887	60.2628	45.8722	30.0424	13.9041	3.9513	1.6302	0.8229	0.5593	0.4436	0.329	0.1696	0.0928	0.0542	0.0338	0.0221	0.0142	0.0064	0
